TEAM1_WIN,AST%_TEAM1,LAST_TEAM1,FT%_TEAM1,EXP_TEAM1,BARTHAG_TEAM1,WAB_TEAM1,CONSISTENCY TR RATING_TEAM1,SEED_TEAM1,BADJ EM_TEAM1,TR RANK_TEAM1,AST%_TEAM2,LAST_TEAM2,FT%_TEAM2,EXP_TEAM2,BARTHAG_TEAM2,WAB_TEAM2,CONSISTENCY TR RATING_TEAM2,SEED_TEAM2,BADJ EM_TEAM2,TR RANK_TEAM2
1,52.7,47.0,73.8,2.446,0.84,1.3,9.2,10.0,15.5,46.0,52.8,22.0,75.9,2.182,0.885,3.7,11.1,7.0,18.4,25.0
0,61.5,108.0,66.2,2.225,0.651,-3.6,9.5,15.0,5.9,108.0,,,,,,,,,,
1,59.5,8.0,71.7,1.524,0.918,10.1,11.1,1.0,21.4,8.0,54.7,225.0,71.6,1.589,0.37,-7.3,12.2,16.0,-4.8,225.0
0,46.6,28.0,68.0,1.41,0.839,0.9,10.6,9.0,14.6,28.0,49.6,14.0,69.0,1.415,0.894,0.4,10.2,8.0,18.7,14.0
0,53.1,64.0,69.7,1.702,0.785,1.0,9.6,12.0,11.1,58.0,48.3,20.0,69.1,1.904,0.931,3.6,11.3,5.0,22.6,20.0
0,53.4,79.0,73.1,1.854,0.789,-1.6,11.3,13.0,11.8,79.0,62.6,6.0,75.4,1.724,0.947,4.9,10.3,4.0,26.4,6.0
0,56.9,62.0,68.9,2.242,0.8,1.3,10.3,11.0,12.0,63.0,58.6,18.0,70.1,2.438,0.873,2.3,12.3,6.0,17.0,18.0
0,47.1,101.0,71.5,2.289,0.639,-3.7,10.4,14.0,5.3,101.0,50.7,5.0,70.2,2.291,0.925,6.8,11.3,3.0,24.0,5.0
0,43.0,49.0,73.9,2.119,0.852,2.3,11.2,10.0,15.3,49.0,55.0,40.0,75.1,2.315,0.85,1.6,11.8,7.0,14.9,40.0
0,50.1,156.0,69.3,2.721,0.466,-1.8,7.6,15.0,-1.2,156.0,50.9,4.0,72.2,1.868,0.951,8.5,9.0,2.0,25.8,4.0
0,46.3,24.0,73.9,2.471,0.863,1.0,10.9,8.0,16.5,23.0,54.8,2.0,72.6,1.13,0.956,10.2,12.8,1.0,27.1,1.0
0,58.5,85.0,73.5,1.893,0.697,-2.0,10.9,13.0,7.8,85.0,51.9,29.0,73.6,2.718,0.919,5.8,8.4,5.0,21.2,30.0
0,56.4,11.0,74.9,1.843,0.904,5.3,10.3,3.0,21.4,11.0,57.8,12.0,76.7,1.549,0.913,1.9,10.3,6.0,21.0,12.0
0,56.5,51.0,75.8,2.645,0.806,3.5,11.8,7.0,13.7,51.0,47.9,124.0,71.3,1.801,0.659,-3.2,10.3,15.0,6.0,117.0
1,51.0,43.0,71.8,2.036,0.874,4.8,10.2,9.0,17.4,42.0,51.5,308.0,74.9,1.943,0.216,-12.2,10.2,16.0,-12.4,308.0
1,66.2,3.0,71.4,1.911,0.949,2.8,12.3,4.0,24.9,3.0,56.4,16.0,77.0,0.878,0.892,4.5,11.7,5.0,18.8,16.0
0,55.7,19.0,70.3,1.982,0.862,1.6,12.2,6.0,16.9,19.0,64.0,31.0,75.0,2.51,0.875,4.3,9.6,3.0,17.2,32.0
0,59.3,13.0,72.1,1.289,0.922,7.6,8.7,2.0,23.0,13.0,57.6,34.0,76.2,2.001,0.864,2.4,9.1,7.0,16.6,34.0
0,55.0,21.0,70.2,2.195,0.881,1.1,11.0,9.0,17.7,21.0,53.8,1.0,71.9,1.611,0.964,8.1,10.3,1.0,29.1,2.0
0,54.2,17.0,71.2,1.806,0.864,3.4,11.0,4.0,16.7,17.0,51.6,36.0,77.6,2.099,0.842,3.7,9.0,5.0,15.9,36.0
0,54.5,70.0,76.1,2.248,0.766,-0.2,10.8,11.0,11.0,70.0,63.8,15.0,71.4,2.432,0.895,5.2,8.6,3.0,20.2,15.0
0,52.7,47.0,73.8,2.446,0.84,1.3,9.2,10.0,15.5,46.0,,,,,,,,,,
0,59.5,8.0,71.7,1.524,0.918,10.1,11.1,1.0,21.4,8.0,49.6,14.0,69.0,1.415,0.894,0.4,10.2,8.0,18.7,14.0
0,48.3,20.0,69.1,1.904,0.931,3.6,11.3,5.0,22.6,20.0,62.6,6.0,75.4,1.724,0.947,4.9,10.3,4.0,26.4,6.0
1,50.7,5.0,70.2,2.291,0.925,6.8,11.3,3.0,24.0,5.0,58.6,18.0,70.1,2.438,0.873,2.3,12.3,6.0,17.0,18.0
0,55.0,40.0,75.1,2.315,0.85,1.6,11.8,7.0,14.9,40.0,50.9,4.0,72.2,1.868,0.951,8.5,9.0,2.0,25.8,4.0
1,51.9,29.0,73.6,2.718,0.919,5.8,8.4,5.0,21.2,30.0,54.8,2.0,72.6,1.13,0.956,10.2,12.8,1.0,27.1,1.0
0,47.9,124.0,71.3,1.801,0.659,-3.2,10.3,15.0,6.0,117.0,57.8,12.0,76.7,1.549,0.913,1.9,10.3,6.0,21.0,12.0
0,66.2,3.0,71.4,1.911,0.949,2.8,12.3,4.0,24.9,3.0,51.0,43.0,71.8,2.036,0.874,4.8,10.2,9.0,17.4,42.0
1,64.0,31.0,75.0,2.51,0.875,4.3,9.6,3.0,17.2,32.0,57.6,34.0,76.2,2.001,0.864,2.4,9.1,7.0,16.6,34.0
0,53.8,1.0,71.9,1.611,0.964,8.1,10.3,1.0,29.1,2.0,51.6,36.0,77.6,2.099,0.842,3.7,9.0,5.0,15.9,36.0
1,,,,,,,,,,,63.8,15.0,71.4,2.432,0.895,5.2,8.6,3.0,20.2,15.0
0,49.6,14.0,69.0,1.415,0.894,0.4,10.2,8.0,18.7,14.0,62.6,6.0,75.4,1.724,0.947,4.9,10.3,4.0,26.4,6.0
0,50.9,4.0,72.2,1.868,0.951,8.5,9.0,2.0,25.8,4.0,50.7,5.0,70.2,2.291,0.925,6.8,11.3,3.0,24.0,5.0
1,51.9,29.0,73.6,2.718,0.919,5.8,8.4,5.0,21.2,30.0,57.8,12.0,76.7,1.549,0.913,1.9,10.3,6.0,21.0,12.0
0,64.0,31.0,75.0,2.51,0.875,4.3,9.6,3.0,17.2,32.0,51.0,43.0,71.8,2.036,0.874,4.8,10.2,9.0,17.4,42.0
1,51.6,36.0,77.6,2.099,0.842,3.7,9.0,5.0,15.9,36.0,,,,,,,,,,
0,50.7,5.0,70.2,2.291,0.925,6.8,11.3,3.0,24.0,5.0,62.6,6.0,75.4,1.724,0.947,4.9,10.3,4.0,26.4,6.0
1,51.9,29.0,73.6,2.718,0.919,5.8,8.4,5.0,21.2,30.0,51.0,43.0,71.8,2.036,0.874,4.8,10.2,9.0,17.4,42.0
1,62.6,6.0,75.4,1.724,0.947,4.9,10.3,4.0,26.4,6.0,51.6,36.0,77.6,2.099,0.842,3.7,9.0,5.0,15.9,36.0
0,51.9,29.0,73.6,2.718,0.919,5.8,8.4,5.0,21.2,30.0,62.6,6.0,75.4,1.724,0.947,4.9,10.3,4.0,26.4,6.0
0,52.5,144.0,71.6,2.162,0.54,-5.2,9.7,16.0,1.4,144.0,55.0,1.0,73.1,1.559,0.973,6.7,11.0,1.0,32.4,1.0
1,59.6,23.0,69.2,1.725,0.875,1.4,11.6,9.0,17.2,24.0,46.8,49.0,65.0,2.402,0.851,3.5,8.9,8.0,15.0,49.0
0,52.2,16.0,75.0,2.112,0.879,3.2,8.6,5.0,17.8,16.0,53.6,99.0,69.5,2.364,0.726,0.7,10.8,12.0,8.6,99.0
0,54.9,61.0,74.7,2.807,0.778,-0.8,9.8,13.0,11.2,61.0,52.9,19.0,75.3,2.292,0.88,4.5,10.4,4.0,17.4,19.0
0,52.9,24.0,73.0,1.646,0.872,2.0,11.2,6.0,17.8,23.0,55.4,45.0,75.9,2.393,0.836,1.8,9.1,11.0,14.8,45.0
1,52.3,14.0,69.9,2.456,0.943,6.5,10.2,3.0,23.6,14.0,47.3,142.0,74.8,1.961,0.562,-2.8,8.8,14.0,2.2,143.0
1,60.7,27.0,74.7,1.746,0.848,2.9,9.5,7.0,15.4,27.0,55.0,56.0,75.7,2.001,0.818,2.1,7.6,10.0,14.2,57.0
1,56.6,12.0,72.9,0.988,0.943,7.2,10.5,2.0,26.0,13.0,44.7,175.0,76.4,2.33,0.466,-5.1,8.6,15.0,-1.2,175.0
1,56.1,6.0,69.8,1.781,0.952,8.9,9.8,1.0,26.8,6.0,47.6,194.0,69.5,2.43,0.438,-3.1,11.4,16.0,-2.2,194.0
1,53.6,28.0,77.2,1.742,0.866,4.3,12.5,8.0,16.9,28.0,59.4,44.0,74.7,1.239,0.807,0.7,10.5,9.0,12.6,44.0
1,51.0,25.0,76.7,2.27,0.887,3.9,8.4,5.0,17.7,25.0,57.4,26.0,69.9,2.053,0.884,0.3,9.4,12.0,17.5,26.0
1,49.9,8.0,73.6,2.209,0.933,5.1,8.5,4.0,23.5,7.0,48.8,119.0,69.2,1.974,0.558,-4.3,12.6,13.0,2.1,119.0
1,53.3,17.0,74.9,2.664,0.918,3.3,8.2,6.0,21.1,17.0,55.4,22.0,74.3,2.136,0.898,1.7,10.4,11.0,19.8,22.0
1,58.9,7.0,70.3,1.778,0.933,7.1,10.4,3.0,25.1,8.0,46.4,143.0,73.7,1.898,0.541,-4.9,10.1,14.0,1.4,142.0
0,47.0,29.0,69.2,2.568,0.877,1.6,9.1,10.0,17.2,30.0,50.2,51.0,69.8,2.121,0.838,3.5,11.0,7.0,14.6,51.0
